id,description_feature_1,description_feature_2,description_feature_3
23163,Central location, Modern apartment, Includes high-speed WiFi  
23169,Spacious living areas, Modern apartment, Family-friendly  
26755,Central location, Panoramic city views, Good natural lighting  
30762,Central location, Fully equipped kitchen, Budget-friendly  
42514,Historic neighborhood, Central location, Charming old-town vibe  
52148,Quiet area, Family-friendly, Fully equipped kitchen  
55844,Near public transportation, Quiet street, Includes cleaning service  
55856,Near public transportation, Quiet street, Includes cleaning service  
70003,Near public transportation, Quiet area, Flexible check-in  
75298,Central location, Cozy atmosphere, Ideal for couples
79373,Central location, Modern apartment, Good natural lighting  
79381,Central location, Fully equipped kitchen, Cozy atmosphere  
79387,Central location, Luxury apartment, Spacious living areas  
79711,Central location, Panoramic city views, Quiet area  
83067,Central location, Panoramic city views, Near cultural attractions  
83855,Central location, Panoramic city views, Near cultural attractions  
83856,Central location, Panoramic city views, Near cultural attractions  
85790,Flexible check-in, Includes cleaning service, With private parking  
98852,,,
106207,Near public transportation, Flexible check-in, Includes cleaning service  
109549,Central location, Family-friendly, Fully equipped kitchen
111141,Central location, Near public transportation, Includes cleaning service
112281,Central location, Near public transportation, Flexible check-in
117451,Cozy atmosphere, Ideal for couples, Peaceful courtyard access
146690,Central location, Family-friendly, Includes high-speed WiFi
167878,Near a river or waterfront, Family-friendly, Ideal for couples
173114,Central location, Quiet area, Charming old-town vibe
176243,Central location, Historic neighborhood, Family-friendly
181641,,,
181951,,,
182072,Central location, Fully equipped kitchen, Family-friendly
182772,Panoramic city views, Central location, Ideal for couples
183338,Central location, Quiet area, Close to restaurants and cafes
186750,Ideal for couples, Family-friendly, Central location  
191254,Central location, Near public transportation, Includes cleaning service  
199947,Central location, Spacious living areas, Family-friendly  
202545,Central location, Family-friendly, Modern apartment  
207373,Private parking, Kid-friendly amenities, Quiet area  
208007,Private parking, Kid-friendly amenities, Quiet area  
209774,Private parking, Kid-friendly amenities, Quiet area  
224386,Private parking, Kid-friendly amenities, Quiet area  
224457,Central location, Near public transportation, Near major landmarks  
247267,Luxury apartment, Central location, High standards
254484,Central location, Near cultural attractions, Fully equipped kitchen  
278550,Flexible check-in, With private parking, Pet-friendly  
278580,Flexible check-in, With private parking, Pet-friendly  
279773,Panoramic city views, Ideal for couples, Charming old-town vibe  
287716,Central location, Modern apartment, Family-friendly  
287727,Historic neighborhood, Luxury apartment, Cozy atmosphere  
287734,Central location, Spacious living areas, Great for food lovers  
304027,,,
318204,Central location, Family-friendly, Includes laundry facilities  
320262,Central location, Family-friendly, Includes laundry facilities  
324586,Central location, Luxury apartment, Ideal for couples
342963,Family-friendly, Fully equipped kitchen, Cozy atmosphere  
342968,Central location, Family-friendly, Spacious living areas  
346142,Flexible check-in, Includes cleaning service, Non-smoking apartment  
374937,Central location, Near cultural attractions, Quiet area  
408724,Near public transportation, Flexible check-in, Includes cleaning service  
415145,Luxury apartment, Central location, Spacious living areas  
448629,Family-friendly, Central location, Close to restaurants and cafes  
458931,Flexible check-in, Includes cleaning service, Central location  
465196,Flexible check-in, Includes cleaning service, Non-smoking apartment  
474544,Quiet area, Artistic atmosphere, Cozy atmosphere
493375,Central location, Near public transportation, Ideal for couples  
498646,,,
531975,Romantic atmosphere, Cozy atmosphere, Ideal for couples  
535968,Central location, Near public transportation, Includes cleaning service  
536364,Central location, Spacious living areas, Family-friendly  
537019,Central location, Modern apartment, Fully equipped kitchen  
546405,,,
547555,Historic neighborhood, Unique architectural design, Spacious living areas  
549347,Unique architectural design, Spacious living areas, Cozy atmosphere  
549837,Unique architectural design, Spacious living areas, Ideal for couples  
551794,Modern apartment, Cozy atmosphere, Compact and efficient studio  
551962,Historic neighborhood, Unique architectural design, Cozy atmosphere
552021,Ideal for couples, Unique architectural design, Cozy atmosphere  
595310,Central location, Near public transportation, Close to restaurants and cafes  
599948,Luxury apartment, Near major landmarks, Family-friendly  
602115,Family-friendly, Cozy atmosphere, Close to local markets  
604720,Quiet area, Cozy atmosphere, Family-friendly  
604777,Family-friendly, Cozy atmosphere, Near public transportation  
604792,Quiet area, Cozy atmosphere, Family-friendly  
605711,Spacious living areas, Family-friendly, Near major landmarks  
628063,Near major landmarks, Historic neighborhood, Quiet area  
647564,Cozy atmosphere, Quiet area, Modern apartment
652527,,,
652633,,,
659531,,,
659540,,,
660960,Quiet area, Close to restaurants and cafes, Near major landmarks  
661323,Historical neighborhood, Ideal for couples, Fully equipped kitchen  
662810,Historic neighborhood, Close to major landmarks, Family-friendly  
662817,Quiet area, Close to major landmarks, Cozy atmosphere  
667478,Modern apartment, Near cultural attractions, Central location  
668858,Compact and efficient studio, Ideal for couples, Close to major landmarks  
668880,Compact and efficient studio, Ideal for couples, Close to major landmarks  
668902,Family-friendly, Fully equipped kitchen, Ideal for couples  
668908,Family-friendly, Fully equipped kitchen, Ideal for couples  
673821,Cozy atmosphere, Fully equipped kitchen, Modern apartment
679022,Family-friendly, Fully equipped kitchen, Good natural lighting  
679276,Central location, Near public transportation, Near cultural attractions  
681166,Modern apartment, Historic neighborhood, Near cultural attractions  
690105,Central location, Good natural lighting, Spacious living areas  
691240,Central location, Close to restaurants and cafes, Family-friendly  
691380,Rooftop terrace or balcony, Near public transportation, Nearby parks or green spaces  
692045,,,
695142,Central location, Modern apartment, Good natural lighting  
696261,,,
696837,,,
699944,Quiet area, Nearby parks or green spaces, Includes breakfast  
701644,Modern apartment, Historic neighborhood, Near cultural attractions  
706726,,,
707963,,,
708571,Boutique apartment, Flexible check-in, Stylish and modern decor
711288,,,
733462,Central location, Near public transportation, Cozy atmosphere  
735375,,,
747785,,,
747830,,,
757660,Quiet area, Family-friendly, Nearby parks or green spaces  
777881, ,,
780659, ,,
780866, ,,
782440, ,,
782489, ,,
782770, ,,
790196,Historic neighborhood, Charming old-town vibe, Central location  
797201,Unique architectural design, Cozy atmosphere, Ideal for couples
814677,Central location, Near major landmarks, Cozy atmosphere  
814687,,,
814691,,,
818081,,,
820954,Historic neighborhood, Panoramic city views, Unique architectural design  
822456,Flexible check-in, Pet-friendly, Includes cleaning service  
843670,Central location, Ideal for couples, Near public transportation  
847192,Modern apartment, Family-friendly, Spacious living areas  
855669,,,
874150,,,
874212,Quiet area, Near public transportation, Kid-friendly amenities  
874482,Quiet area, Near public transportation, Kid-friendly amenities  
876329,Central location, Close to restaurants and cafes, Family-friendly  
882759,,,
888475,Cozy atmosphere, Good natural lighting, Central location  
933489,,,
933583,Modern apartment, Cozy atmosphere, Fully equipped kitchen
933836,Central location, Historic neighborhood, Near cultural attractions  
935534,Budget-friendly, Quiet area, Near public transportation  
939413,Unique architectural design, Central location, Artistic atmosphere  
970935,,,
976660,,,
977301,Fully equipped kitchen, Central location, Flexible check-in  
987875,Ideal for couples, Pet-friendly, Suitable for solo travelers  
991924,Central location, Cozy atmosphere, Private entrance  
993197,Central location, Near major landmarks, Scenic walking routes nearby  
994758,Central location, Close to restaurants and cafes, Good natural lighting  
995953,Cozy atmosphere, Ideal for couples, Near public transportation  
1000103,Artistic atmosphere, Central location, Close to restaurants and cafes
1000340,Central location, Cozy atmosphere, Close to major landmarks  
1003358,Modern apartment, Spacious living areas, Family-friendly  
1015821,,,
1020234,Central location, Near public transportation, Includes cleaning service  
1043941,Central location, Cozy atmosphere, Near public transportation  
1064538,Central location, Family-friendly, Ideal for couples  
1064766,,,
1072946,Modern apartment, Family-friendly, Includes high-speed WiFi  
1073417,,,
1081430,,,
1101093,Quiet area, Ideal for couples, Near public transportation  
1103679,Good natural lighting, Central location, Boutique apartment  
1111076,Central location, Near cultural attractions, Stylish and modern decor  
1116016,,,
1143098,Central location, Ideal for couples, Close to restaurants and cafes
1151056,Luxury apartment, Central location, Near major landmarks  
1153832,Luxury apartment, Central location, Near cultural attractions  
1165444,,,
1167382,Ideal for couples, Panoramic city views, Near major landmarks  
1169103,Cozy atmosphere, Central location, Close to restaurants and cafes  
1184697,,,
1200137,Near public transportation, Central location, Includes cleaning service  
1201907,,,
1202743,Budget-friendly, Cozy atmosphere, Central location  
1221884,Luxury apartment, Central location, Close to restaurants and cafes  
1230431,Close to local markets, Central location, Nearby parks or green spaces  
1231557,Cozy atmosphere, Central location, Suitable for solo travelers  
1238371,Central location, Near major landmarks, Historic neighborhood
1244351,Central location, Ideal for couples, Modern apartment  
1249820,Near public transportation, Nearby parks or green spaces, Close to cultural attractions  
1252184,Historic neighborhood, Panoramic city views, Close to major landmarks  
